Auto||Автоматический выбор
GMT0BST,M3.5.0,M10.5.0|GMT/BST|Великобритания, Ирландия, Португалия
CET-1CEST,M3.5.0,M10.5.0|CET/CEST|Австрия, Германия, Испания, Италия, Франция
EET-2EEST,M3.5.0,M10.5.0|EET/EEST|Греция, Турция
IST-2IDT,M3.5.5,M10.1.0|IST/IDT|Израиль
UTC-2|FET|Калининград, Белоруссия
UTC-3|MSK|Москва
UTC-4|UTC+4|Самара, Ижевск
UTC-5|UTC+5|Екатеринбург, Уфа, Пермь
UTC-6|UTC+6|Омск
UTC-7|UTC+7|Новосибирск, Томск, Красноярск, Кемерово, Норильск
UTC-8|UTC+8|Иркутск, Улан-Удэ
UTC-9|UTC+9|Якутск, Благовещенск, Чита
UTC-10|UTC+10|Владивосток, Хабаровск
